variation_id,sequence_durations,instance_id
3.0,18.5009014,434
3.0,15.280572,497
3.0,16.624873599999997,562
3.0,14.880341900000001,696
3.0,10.7227987,759
3.0,14.987741599999998,826
3.0,14.1036086,955
3.0,11.8340442,1017
3.0,13.0783968,1073
3.0,10.726434900000001,1141
3.0,16.3765387,1228
3.0,13.964885600000002,1362
3.0,11.651502299999999,1635
3.0,12.1515774,1701
3.0,12.527400100000001,1757
3.0,15.999978400000002,1826
3.0,13.040632700000002,1895
3.0,19.9413171,1954
3.0,14.5215879,2014
3.0,17.687509900000002,2118
3.0,10.4554498,2170
3.0,15.666319499999998,2261
3.0,14.440926099999999,2375
3.0,12.188185299999999,2784
3.0,18.007334099999998,2882
3.0,15.0174514,2992
3.0,12.2600789,3228
3.0,15.133620600000002,3290
3.0,16.0637666,3357
3.0,11.4241623,3428
3.0,14.071594999999999,3481
3.0,16.348866299999997,3623
3.0,16.2731495,3673
3.0,15.8794627,3841
4.0,14.793454200000001,1566
4.0,11.6182351,2435
4.0,14.333165399999999,2628
4.0,18.2015874,3168
4.0,14.126045799999998,3571
4.0,13.429695699999998,3897
4.0,12.057046099999999,4333
4.0,10.8352707,4393
4.0,12.8125348,4495
4.0,14.130778300000003,4744
4.0,15.496844100000002,4808
5.0,21.7604578,2563
5.0,22.304853200000007,2734
5.0,22.304853200000007,3948
5.0,20.5154256,4156
5.0,22.304853200000007,4691
6.0,23.427409,4272
6.0,22.871610399999998,4862
6.0,19.8922771,4922
7.0,20.152733800000004,3040
8.0,5.455766000000001,4441
9.0,14.4476942,4440
10.0,30.7370247,4214
11.0,45.74205630000001,4099
12.0,24.7235907,3994
13.0,26.4078473,3787
14.0,31.583694099999995,2832
15.0,6.5324057,2939
16.0,46.358769,2321
17.0,15.513045299999998,2064
18.0,33.2270494,1438
19.0,25.865372999999998,631
20.0,12.430719600000002,302
21.0,38.930023799999994,222
22.0,48.048743300000005,4643
23.0,9.5279553,119
23.0,5.4943837,208
23.0,8.986628699999999,283
23.0,8.694690699999999,362
23.0,8.348869800000001,420
23.0,8.869410799999999,545
23.0,7.723262400000001,616
23.0,8.0213356,685
23.0,9.5743462,748
23.0,8.6660449,816
23.0,8.0830657,875
23.0,8.0662988,940
23.0,8.2596144,1006
23.0,7.316146699999999,1062
23.0,8.4419918,1127
23.0,9.8250228,1215
23.0,6.573044400000001,1283
23.0,7.747126,1347
23.0,8.113648300000001,1348
23.0,7.2519241999999995,1420
23.0,8.6768102,1497
23.0,6.5319628000000005,1556
23.0,16.4219988,1622
23.0,7.736456400000001,1689
23.0,8.257306100000001,1744
23.0,7.629779500000001,1816
23.0,8.998256299999998,1880
23.0,10.096806500000001,1944
23.0,6.9522118,2003
23.0,7.0157395000000005,2055
23.0,8.8529145,2106
23.0,8.41301,2161
23.0,8.443876499999998,2248
23.0,7.7523698,2310
23.0,7.228223900000001,2364
23.0,8.3688676,2425
23.0,9.0234895,2490
23.0,5.5181738,2548
23.0,4.9606075,2615
23.0,5.4600855,2671
23.0,5.387221,2725
23.0,5.6050519,2776
23.0,5.745513000000001,2823
23.0,7.108395499999999,2873
23.0,10.578593800000002,2927
23.0,5.2740257,2985
23.0,5.4457077,3029
23.0,4.6228733,3081
23.0,9.8394832,3156
23.0,6.432413800000001,3218
23.0,5.852807599999999,3276
23.0,7.141236500000001,3342
23.0,5.727843399999999,3413
23.0,8.145546900000001,3472
23.0,7.3785745,3514
23.0,5.2131524,3563
23.0,7.1867584,3614
23.0,4.8703978999999995,3664
23.0,6.998912099999999,3718
23.0,13.057301099999998,3829
23.0,7.2031123,3888
23.0,8.420127099999998,3939
23.0,6.2320294,3995
23.0,9.917032400000002,4084
23.0,9.715871199999999,4145
23.0,6.804833599999999,4203
23.0,8.320198999999999,4258
23.0,10.6106981,4323
23.0,8.986628699999999,4385
